2021-12-27 14:33:20 WARNING issue with unit arrangement formula:La2LiRu calc_id:02WkXNbvy8a4As-D3m65e4Vd8Qpd prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:22 WARNING issue with unit arrangement formula:OsRhSe2 calc_id:02pcMZWMYQ_S8UwEpRgG7FUuk1j6 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:25 WARNING issue with unit arrangement formula:La2NiPd calc_id:03WnyjGRRNAQOJt9elqKz9x_RJPj prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:27 WARNING issue with unit arrangement formula:LiRh2Se calc_id:04rZPy33mS8_H_Ny6zj9Sk48d8ec prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:29 WARNING issue with unit arrangement formula:KMo4Se calc_id:05Er2pfQM08MSTQOnWSpM7g3Sn21 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:31 WARNING issue with unit arrangement formula:MgRuY2 calc_id:05FgiB2OUiyS6OOxTOVVlAsVKPE5 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:40 WARNING issue with unit arrangement formula:PbSbTc2 calc_id:05Xw0dqMYx4LPnPmQtTmnuKk5MVt prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:42 WARNING issue with unit arrangement formula:Pd2ScSn calc_id:05dVx7RsNDmKjFz6hxU9W5hpbdvX prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:44 WARNING issue with unit arrangement formula:IrNiSb calc_id:068Dby2Kv0vXdp2MIdzjoyII_3bb prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:46 WARNING issue with unit arrangement formula:NiSeZn2 calc_id:078KTmNNnwYpOXBPqt67pwI_8pUO prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:49 WARNING issue with unit arrangement formula:NbOs2Pt calc_id:07G7mw8EZwDx_AoiOWvJf4OJfIgw prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:51 WARNING issue with unit arrangement formula:P2PdRh calc_id:07NiO_Bkdgzes6T6_EXh2hSdH4b9 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:53 WARNING issue with unit arrangement formula:Rh2SbSr calc_id:07nMCm3B0SEvP6ameAn5vIpabc6Z prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:55 WARNING issue with unit arrangement formula:La2MoNa calc_id:0993yT2rbjsXmgOPnQNHHHwqxL2R prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:57 WARNING issue with unit arrangement formula:NbReSr2 calc_id:09WxRdveJIhfRY6NQDY9CXrcmPQh prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:33:59 WARNING issue with unit arrangement formula:SeTa2Zr calc_id:0BFmThgimbm-oA1jo4j97gWl96aa prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:34:07 WARNING issue with unit arrangement formula:Mg2PbSn calc_id:0BLIeWfSpaAMX_0Fgl0erQJ_jsd3 prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:34:09 WARNING issue with unit arrangement formula:ReYZn calc_id:0Bn3m_0gI3x0TKRq7CVOfLevRepq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:34:11 WARNING issue with unit arrangement formula:Na2ReSn calc_id:0Cw8gfdYidgs9cjhJfxI7VPHEUoN prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:34:13 WARNING issue with unit arrangement formula:MgMnNb calc_id:0EE2xwGryGX1mg9Y5SIZ0Iw7P_O_ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:34:15 WARNING issue with unit arrangement formula:NaP2Ta calc_id:0EK37hanQ05lT30C35dGedkOHJdo prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:34:17 WARNING issue with unit arrangement formula:PtTi2Tl calc_id:0FagyFE9g2ItwB4gJM3MjYj7FqvE prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:34:20 WARNING issue with unit arrangement formula:In4NbP calc_id:0GZcFg_U5iDQJH_V6VyQ1caXx_iR prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:34:22 WARNING issue with unit arrangement formula:IrRhSb2 calc_id:0I0pIp7vE-fQx0smeRTIO6uXk19S prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
